player_id,player_name,recent_team,season,week,position,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points_ppr
00-0023459,A.Rodgers,NYJ,2023,1,QB,0,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
00-0026498,M.Stafford,LA,2023,1,QB,24,38,334.0,0,0.0,3,11.0,0,0,0,0.0,0,14.46
00-0028002,R.Cobb,NYJ,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0028118,T.Taylor,NYG,2023,1,QB,2,2,6.0,0,0.0,0,0.0,0,0,0,0.0,0,0.24
00-0029263,R.Wilson,DEN,2023,1,QB,27,34,177.0,2,0.0,1,1.0,0,0,0,0.0,0,15.18
00-0029293,M.Jones,DET,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,6,2,8.0,0,0.8
00-0029604,K.Cousins,MIN,2023,1,QB,33,44,344.0,2,1.0,3,7.0,0,0,0,0.0,0,16.46
00-0029701,R.Tannehill,TEN,2023,1,QB,16,34,198.0,0,3.0,3,5.0,0,0,0,0.0,0,2.42
00-0030035,A.Thielen,CAR,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,2,2,12.0,0,3.2
00-0030061,Z.Ertz,ARI,2023,1,TE,0,0,0.0,0,0.0,0,0.0,0,10,6,21.0,0,8.1
00-0030068,M.Goodwin,CLE,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,2,0,0.0,0,0.0
00-0030279,K.Allen,LAC,2023,1,WR,0,0,0.0,0,0.0,2,6.0,0,9,6,76.0,0,14.2
00-0030431,R.Woods,HOU,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,10,6,57.0,0,11.7
00-0030513,L.Murray,BUF,2023,1,RB,0,0,0.0,0,0.0,2,8.0,0,2,1,9.0,0,2.7
00-0030564,D.Hopkins,TEN,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,13,7,65.0,0,13.5
00-0030565,G.Smith,SEA,2023,1,QB,16,26,112.0,1,0.0,1,6.0,0,0,0,0.0,0,9.08
00-0031235,O.Beckham,BAL,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,3,2,37.0,0,5.7
00-0031236,B.Cooks,DAL,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,4,2,22.0,0,4.2
00-0031260,L.Thomas,WAS,2023,1,TE,0,0,0.0,0,0.0,0,0.0,0,8,4,43.0,0,8.3
00-0031280,D.Carr,NO,2023,1,QB,23,33,305.0,1,1.0,3,4.0,0,0,0,0.0,0,14.6
00-0031345,J.Garoppolo,LV,2023,1,QB,20,26,200.0,2,1.0,9,11.0,0,0,0,0.0,0,15.1
00-0031376,J.McKinnon,KC,2023,1,RB,0,0,0.0,0,0.0,0,0.0,0,2,1,10.0,0,2.0
00-0031381,D.Adams,LV,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,9,6,66.0,0,12.6
00-0031408,M.Evans,TB,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,10,6,66.0,1,18.6
00-0031428,A.Robinson,PIT,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,8,5,64.0,0,11.4
00-0031544,A.Cooper,CLE,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,7,3,37.0,0,6.7
00-0031588,S.Diggs,BUF,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,13,10,102.0,1,26.2
00-0031595,M.Burton,DEN,2023,1,FB,0,0,0.0,0,0.0,0,0.0,0,1,1,3.0,0,1.3
00-0031610,D.Waller,NYG,2023,1,TE,0,0,0.0,0,0.0,0,0.0,0,5,3,36.0,0,6.6
00-0031687,R.Mostert,MIA,2023,1,RB,0,0,0.0,0,0.0,10,37.0,1,2,2,13.0,0,13.0
00-0031763,D.Carter,LV,2023,1,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,5.0,0,1.5
